base,r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none, y005big,y005mid,y005small
36.94285714,33.1,28.17142857,30.45714286,27.18571429,28.68571429,33.18571429,33.12857143,29.41428571,33.42857143,32.02857143,31.15714286,28.87142857,33.62857143,33.04285714,31.5,29.9
34.34285714,31.81428571,27.05714286,29.27142857,26.7,27.57142857,32.05714286,31.81428571,28.44285714,31.24285714,30.02857143,29.38571429,28.64285714,30.05714286,30.5,30.58571429,29
35.32857143,30.41428571,25.82857143,27.82857143,25.24285714,26.44285714,30.77142857,30.47142857,27.24285714,34.02857143,30.18571429,29.61428571,28.6,31.3,32.05714286,29.24285714,28.88571429
40.21428571,29.05714286,25.21428571,27,24.07142857,25.32857143,29.67142857,29.57142857,26.41428571,37.01428571,34.2,34.1,28.84285714,34.82857143,36.7,28.18571429,29.28571429
47.14285714,28.01428571,23.75714286,25.77142857,22.94285714,24.32857143,28.5,28.44285714,25.02857143,39.01428571,39.14285714,38.15714286,28.8,36.91428571,43.41428571,27.7,31.25714286
59.22857143,26.77142857,22.64285714,24.75714286,22.11428571,23.65714286,27.44285714,27.52857143,24.34285714,45.94285714,49.25714286,47.87142857,29.6,43.51428571,54,27.94285714,34.34285714
63.87142857,25.71428571,21.67142857,23.65714286,21.32857143,22.77142857,26.5,26.38571429,23.42857143,49.15714286,52.9,51.24285714,30.14285714,47.02857143,57.21428571,27.88571429,37.57142857
69.98571429,25.11428571,21.15714286,23.07142857,20.91428571,21.98571429,25.75714286,25.77142857,23.17142857,54.37142857,58.64285714,56.55714286,31.21428571,52.81428571,62.64285714,28.48571429,43.12857143
70.5,24.2,20.55714286,22.38571429,20.41428571,21.32857143,24.87142857,24.74285714,22.35714286,54.85714286,59.24285714,57.1,31.61428571,54.24285714,63.04285714,28.45714286,44.11428571
70.58571429,23.67142857,20.21428571,21.8,20.07142857,20.44285714,24,23.98571429,22.12857143,55.6,59.41428571,57.12857143,31.92857143,56.21428571,62.85714286,28.62857143,45.3
69.02857143,22.81428571,19.47142857,21.18571429,19.34285714,19.55714286,22.7,22.58571429,20.98571429,54.48571429,58.55714286,56.34285714,31.75714286,55.27142857,61.7,28.6,45.07142857
65.52857143,22.25714286,19.1,20.84285714,19.12857143,19.82857143,22,21.85714286,20.31428571,51.25714286,56.35714286,54.27142857,31.27142857,52.84285714,59.28571429,28.61428571,44.05714286
63.51428571,21.34285714,18.48571429,20.3,18.74285714,18.95714286,20.8,20.62857143,19.38571429,49.08571429,55.1,53.08571429,31.12857143,51.17142857,57.71428571,28.61428571,43.44285714
57.6,20.44285714,18.01428571,19.01428571,17.82857143,19.81428571,20.94285714,20.77142857,19.64285714,43.85714286,51.08571429,49.24285714,30.17142857,46.48571429,53.42857143,28.61428571,41.17142857
53.87142857,19.15714286,17.08571429,17.78571429,17.01428571,19.31428571,20.05714286,19.9,18.97142857,40.7,48.67142857,46.82857143,29.9,43.8,50.68571429,28.65714286,39.52857143
46.25714286,19.02857143,16.91428571,17.5,16.64285714,19.5,20.64285714,20.28571429,19.77142857,37.3,42.68571429,41.04285714,29.75714286,38.82857143,44.97142857,28.74285714,36.37142857
43.8,21.07142857,16.98571429,18.61428571,17.85714286,19.28571429,20.64285714,20.48571429,19.92857143,37.22857143,41.15714286,39.9,29.74285714,38.48571429,43.25714286,29.15714286,36.2
43.3,31.9,21.1,28.81428571,27.58571429,23.18571429,25.67142857,26.48571429,24.95714286,38.9,41.3,40.24285714,29.7,39.45714286,43.21428571,30.62857143,37.91428571
45.28571429,42.18571429,30.42857143,40.07142857,38.85714286,32.7,40.17142857,41.25714286,38.28571429,41.74285714,43.15714286,42.55714286,29.97142857,41.51428571,44.9,33.04285714,39.8
50.87142857,60.55714286,49.11428571,59.6,57.77142857,53.32857143,64.55714286,65.08571429,61.14285714,48.17142857,48.14285714,48.1,32.41428571,46.8,49.95714286,37.85714286,45.37142857
55.5,71.37142857,60.51428571,70.85714286,69.48571429,66.25714286,78.71428571,78.48571429,74.64285714,54.27142857,55.28571429,55.4,35.47142857,52.42857143,56.87142857,44.92857143,52.4
69.08571429,89.21428571,79.3,88.61428571,86.87142857,85.54285714,98.68571429,98.25714286,93.87142857,68.34285714,78.48571429,81.58571429,47.22857143,61.98571429,80.41428571,68.67142857,75.77142857
92.92857143,98.35714286,89.34285714,97.7,95.81428571,95.38571429,108.1428571,107.5428571,103.4714286,92.84285714,98.77142857,100.2428571,75.24285714,84.5,99.92857143,91.65714286,97.07142857
119.5428571,112.7428571,104.7714286,112.4142857,110.3857143,111.5428571,122.8428571,122.1142857,118.1,117.6428571,122.0428571,123.0857143,105.1,112.3,122.8,116.8428571,120.2428571
127.9571429,119.7285714,112.1714286,118.7142857,116.8142857,118.4,128.9571429,128.2571429,124.5,125.9714286,129.9714286,130.6428571,115.1142857,121.7714286,130.8142857,125.0857143,128.0428571
141.5714286,130.5571429,124.3,129.6285714,127.1857143,130.3285714,139.1857143,138.5714286,134.8714286,138.5285714,143.2,143.2714286,130.2,135.9428571,143.8571429,138.4857143,140.9285714
146.1285714,135.2,129.6714286,134.4857143,131.5714286,135.4142857,143.4285714,142.7857143,138.9857143,142.6,147.4142857,147.4428571,134.9,140.5142857,148.0714286,142.9714286,144.8571429
154.6285714,142.5714286,138.4714286,142.1571429,139,143.4285714,150.2142857,149.6142857,146.1857143,150.5,155.0857143,154.9142857,143.0714286,148.8428571,155.3714286,150.5142857,152.7285714
157.5714286,146.2857143,142.3428571,146.0142857,142.3,146.9571429,153.4428571,152.8428571,149.2285714,153.3714286,158.0142857,157.8285714,146.4428571,152.3428571,158.2714286,153.8428571,155.7142857
160.8,151.1428571,148.2285714,151.5571429,147.5142857,151.5,156.7,156.1714286,153.1,156.5571429,160.8285714,160.7,151.6285714,156.5,160.9142857,157.3142857,158.7428571
162.3142857,153.2285714,151.0714286,154.0142857,149.7,153.9714286,158.3142857,157.7142857,154.8571429,158.1714286,162.0714286,161.7857143,154.2285714,158.4428571,162.1571429,159.0428571,160.3285714
163.1,155.0571429,153.9285714,156.0571429,151.9571429,155.8,159.2142857,158.6428571,155.8571429,159.3714286,162.6857143,162.3714286,156.2857143,159.8714286,162.5571429,160.2142857,161.3
