r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none,y005big,y005mid,y005small,WaveLength
0.035871873,0.112081032,0.075613467,0.122620972,0.038509994,0.018636036,0.020573029,0.044219602,-0.001926396,-0.007338566,-0.004693968,0.098145254,-0.007329448,0.000214626,0.012869706,0.005210481,325
0.003692091,0.078280859,0.042449464,0.090377376,0.023063305,0.001905858,0.004917657,0.028877411,-0.015264503,-0.022080669,-0.017776202,0.070260289,-0.017262426,-0.002417686,-0.004169825,-0.007116394,329
-0.015876762,0.059461145,0.022925322,0.071699806,0.012615718,-0.007752706,-0.00544956,0.018404816,-0.018713283,-0.013270615,-0.009896709,0.06508987,-0.019737531,0.001545539,-0.015118462,-0.007194726,333
-0.065318276,0.00820433,-0.024560803,0.02368638,-0.011160362,-0.031384048,-0.029263641,-0.005039123,-0.026372398,-0.012382201,-0.012669338,0.056243348,-0.024233987,0.001334015,-0.041686194,-0.011440914,337
-0.035401959,0.038702838,0.00679842,0.05517171,0.00391006,-0.016107719,-0.014636888,0.010060691,0.001005811,0.002591092,0.003892458,0.091880139,-0.006712423,0.001584498,-0.029980445,0.005523454,341
-0.043122429,0.031757631,-0.002096598,0.045374022,0.002719097,-0.019649815,-0.019306716,0.004091521,0.012333117,0.003315241,0.009255185,0.10666388,0.000300446,0.003023331,-0.036592661,0.01394932,345
-0.011658646,0.064691465,0.028174631,0.078802115,0.020164521,-0.003616793,-0.002826252,0.020805783,0.015292071,0.005874888,0.013181646,0.0908617,0.002789625,0.001684172,-0.023810397,0.01604185,349
-0.000732739,0.073324716,0.037348769,0.087084993,0.026651455,-0.00043957,0.000808196,0.024506366,0.017661548,0.006501978,0.015072374,0.097790935,0.00730853,0.003250989,-0.015835515,0.020923803,353
0.003519051,0.07863301,0.038537273,0.090669227,0.03054711,-0.000456672,0.000839734,0.025604835,0.005829544,0.010800064,0.013935778,0.065501549,-0.000760587,0.005790937,-0.008736343,0.008626414,357
0.014439002,0.088254452,0.05166821,0.102133285,0.037312037,0.004786233,0.007061691,0.031408989,0.007392425,0.014596898,0.01920105,0.06868091,0.000688265,0.007456432,0.012088656,0.012088656,361
0.031347062,0.106651534,0.067638158,0.117984191,0.046373372,0.014850067,0.015508589,0.039636683,0.025284374,0.045092767,0.049715697,0.085770732,0.007973905,0.016914613,0.022972581,0.029467997,365
0.038806439,0.111681477,0.074730709,0.125767939,0.049798852,0.018724899,0.02042469,0.045638631,0.026746581,0.05033782,0.057016701,0.094161672,0.008553952,0.019658137,0.042499098,0.033797234,369
0.038251538,0.109825237,0.070436221,0.12226514,0.050206619,0.016984612,0.018409702,0.043985963,0.040949586,0.062779884,0.074120813,0.111095724,0.018946531,0.023838665,0.026790585,0.047533371,373
